DATE,QTY,PRODUCT NAME,PRICE PER UNIT,TOTAL,PAYMENT METHOD,,,,
8/4/2025,1,Spark Plug NGK,85,85,,,,,
8/4/2025,1,Oil Filter (Standard),55,55,,,,,
8/4/2025,1,Brake Fluid DOT 3,70,70,,,,,
8/4/2025,1,Hand Grip Set,80,80,,,,,
8/4/2025,1,Chain Lube Spray,180,180,,,,,
8/4/2025,1,Inner Tube 2.75-17,130,130,,,,,
8/4/2025,1,Gasket Maker Sealant,45,45,,,,,
8/4/2025,1,Battery Terminal Set,30,30,,,,,
8/4/2025,1,Fuse Box Assembly,130,130,,,,,
8/4/2025,1,Clutch Cable,150,150,,,,,
8/4/2025,1,Front Axle Nut,40,40,,,,,
8/4/2025,1,Rear Fender Flap,60,60,,,,,
8/4/2025,1,Rubber Sealant Tube,70,70,,,,,
8/4/2025,1,Tire Valve (Tubeless),25,25,,,,,
8/4/2025,1,Kick Starter Lever,170,170,,,,,
8/4/2025,1,Bearing 6203,150,150,,,,,
8/4/2025,1,Flasher Relay,100,100,,,,,
8/4/2025,1,Light Bulb (Signal),33,33,,,,,
8/4/2025,1,Cable Guide,50,50,,,,,
8/4/2025,1,Piston Pin Clip (Set),12,12,,,,,
8/4/2025,1,Handle Grip Glue,45,45,,,,,
,,,,,,,,,
8/5/2025,1,TIRE 80/90-14 (Tubeless),950,950,,,,,
8/5/2025,1,5L Extreme Battery,750,750,,,,,
8/5/2025,1,SPROCKET SET (Heavy Duty),600,600,,,,,
8/5/2025,1,CDI Unit (Performance),400,400,,,,,
8/5/2025,1,FULLY SYNTHETIC OIL 1L,360,360,,,,,
8/5/2025,1,PRIMARY CLUTCH BELL,300,300,,,,,
8/5/2025,1,BRAKE MASTER PUMP,220,220,,,,,
8/5/2025,1,Kick Starter Lever,170,170,,,,,
8/5/2025,2,BRAKE PAD (Original),160,320,,,,,
8/5/2025,1,Bearing 6203,150,150,,,,,
8/5/2025,1,Clutch Cable,150,150,,,,,
8/5/2025,1,HEADLIGHT BULB LED,150,150,,,,,
8/5/2025,1,Inner Tube 2.75-14,130,130,,,,,
8/5/2025,1,Fuse Box Assembly,130,130,,,,,
8/5/2025,2,OIL FILTER (Standard),55,110,,,,,
8/5/2025,1,Speedometer Cable,110,110,,,,,
8/5/2025,1,Flasher Relay,100,100,,,,,
8/5/2025,1,Spark Plug NGK,85,85,,,,,
8/5/2025,1,Handle Grip Set,80,80,,,,,
8/5/2025,1,Rubber Sealant Tube,70,70,,,,,
8/5/2025,1,Brake Fluid DOT 3,70,70,,,,,
8/5/2025,1,Rear Fender Flap,60,60,,,,,
8/5/2025,1,Gasket Maker Sealant,45,45,,,,,
8/5/2025,1,Front Axle Nut,40,40,,,,,
8/5/2025,1,Battery Terminal Set,30,30,,,,,
8/5/2025,1,Tire Valve (Tubeless),25,25,,,,,
8/5/2025,2,CABLE TIE (Pack),10,20,,,,,
8/5/2025,2,BOLT M8x20,10,20,,,,,
8/5/2025,1,WASHER (Pack),5,5,,,,,
8/5/2025,2,BOLT ,12,24,,,,,
8/5/2025,1,200-17 LEO TUBE,150,150,,,,,
8/5/2025,1,CHAIN 12OL ,300,300,,,,,
8/5/2025,1,SEAT COVER ,220,220,,,,,
8/5/2025,1,BRACKEY,300,300,,,,,
8/5/2025,1,BRAKE ARM ,100,100,,,,,
8/5/2025,2,BRAKE LEVER,100,200,,,,,
8/5/2025,1,WASHER,7,7,,,,,
8/5/2025,1,Yamalube  Blue Core 800ML,280,280,,,,,
8/5/2025,1,Silvestre AT Fully 800ml,260,260,,,,,
8/5/2025,1,200-17 LEO TUBE,150,150,,,,,
8/6/2025,1,2.50-17 LASS,550,550,,,,,
8/6/2025,8,2.50-17 TUBE,170,170,,,,,
8/6/2025,1,MOTOLITE 4L,750,750,,,,,
8/6/2025,1,Genuine Brakepad NMAX,370,370,,,,,
8/6/2025,1,Grease High temp,30,30,,,,,
8/6/2025,1,Brakepad Trinity,120,120,,,,,
8/6/2025,1,Center Stand Spring,40,40,,,,,
8/6/2025,2,Light,30,60,,,,,
8/6/2025,1,Side Mirror,450,450,,,,,
8/6/2025,1,Led Peanut,150,150,,,,,
8/6/2025,1,Brake Shoe,180,180,,,,,
8/6/2025,1,Clutch Cable,140,140,,,,,
8/6/2025,1,Shell 1L,360,360,,,,,
8/6/2025,1,Tire Valve,50,50,,,,,
8/6/2025,1,Sealant,120,120,,,,,
8/6/2025,1,Rubber Dumper,100,100,,,,,
8/6/2025,1,Brake Pad,120,120,,,,,
8/6/2025,2,washer,7,14,,,,,
